CA006158875,05-02-2001,44.1167,-77.5333,86,4
RSM00034240,10-09-1926,50.8,42,110,16.5
USW00024088,21-06-1986,44.2169,-104.9292,1318.3,26.1
USC00030150,30-10-1909,34.2467,-93.4392,160.3,26.7
USS0015C16S,20-01-1985,46.76,-115.3,1914.1,-2.7
USC00251684,07-10-2016,40.5208,-98.0536,545,13.3
CA008206000,19-03-1938,45.3667,-63.3,24,2.8
FI000007501,08-12-1913,67.3678,26.6328,179,-12
CA004074640,23-05-1983,53.2833,-104.3333,375,10
MX000007169,13-02-1973,17.3,-92.32,1350,22
USC00040674,07-09-1964,37.0833,-122.1,153,23.9
GMM00010253,08-04-1986,52.967,11.133,17,4.3
USC00053592,08-06-1954,39.8789,-106.3333,2359.2,22.8
USC00390701,05-04-1961,45.5286,-102.465,847.3,8.3
CA003074320,03-06-1973,55.7167,-116.95,623,16.7
USC00473214,11-06-1947,43.7667,-89.3,235,23.3
USC00451484,13-02-1916,48.9672,-122.3292,19.5,3.9
USC00408873,19-04-1922,36.4167,-83.55,406,20
CA004074640,02-05-1983,53.2833,-104.3333,375,11
USC00240780,30-10-1914,45.8325,-109.9511,1249.7,21.1
USC00040674,03-09-1964,37.0833,-122.1,153,22.2
CA003074320,30-06-1973,55.7167,-116.95,623,16.7
USC00205073,28-10-1980,45.9511,-86.2514,182.9,6.1
CA005041530,20-06-1972,50.4,-98.55,250,16.7
USC00248957,13-09-1945,46.9878,-104.1567,821.7,26.7
USC00473214,18-06-1947,43.7667,-89.3,235,21.1
USC00390701,23-04-1961,45.5286,-102.465,847.3,12.2
USC00026865,28-11-1926,33.665,-114.2272,266.7,22.2
USC00118293,23-10-2017,42.3997,-89.9903,295.7,14.4
USC00205073,12-10-1980,45.9511,-86.2514,182.9,7.8
USC00292030,31-08-1937,35.4072,-104.1906,1293.6,35.6
CA008206000,02-03-1938,45.3667,-63.3,24,-6.1
USC00369131,13-03-1947,40.6031,-79.5667,251.5,12.2
USC00242827,31-03-1994,48.8978,-115.0644,771.8,20.6
CA004074640,22-05-1983,53.2833,-104.3333,375,13.5
USC00118293,12-10-2017,42.3997,-89.9903,295.7,15
USC00248957,16-09-1945,46.9878,-104.1567,821.7,21.1
CA003074320,04-06-1973,55.7167,-116.95,623,20
CA001141455,08-11-2004,49.3,-117.6333,496,6.5
USS0015C16S,13-01-1985,46.76,-115.3,1914.1,-7.3
USC00240780,13-10-1914,45.8325,-109.9511,1249.7,17.2
CA006158875,13-02-2001,44.1167,-77.5333,86,1.5
CA008206000,20-03-1938,45.3667,-63.3,24,3.9
USC00369131,26-03-1947,40.6031,-79.5667,251.5,1.1
USC00375110,10-12-1903,41.4333,-71.4667,6.7,10
USC00465875,01-08-1989,37.9892,-80.68,975.4,25
SAM00040362,22-04-2004,29.626,43.491,449.3,37.7
JA000047402,07-03-1976,44.933,142.583,8,0.6
USC00408873,04-04-1922,36.4167,-83.55,406,25.6
CA008103050,14-04-2007,48.0167,-64.5,4,3
